,zinc_id,smiles,first_affinity,last_affinity,mean_affinity,chembldocid,reference.pubmed_id,reference.chembl_id
410,ZINC000027520938,C#CCN(Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)[nH]c(=O)c2c1,5.52,5.52,5.52,9629,3339615,CHEMBL1124218
411,ZINC000027520940,C#CCN(Cc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)[nH]c(=O)c2c1,5.52,5.52,5.52,9629,3339615,CHEMBL1124218
412,ZINC000027521063,C#CCN(Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)nc(N)c2c1,8.28,8.28,8.28,9629,3339615,CHEMBL1124218
413,ZINC000027521065,C#CCN(Cc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)nc(N)c2c1,8.28,8.28,8.28,9629,3339615,CHEMBL1124218
414,ZINC000027521198,C=CCN(Cc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)[nH]c(=O)c2c1,5.85,5.85,5.85,9629,3339615,CHEMBL1124218
415,ZINC000027521200,C=CCN(Cc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)[nH]c(=O)c2c1,5.85,5.85,5.85,9629,3339615,CHEMBL1124218
416,ZINC000027562411,Cc1c(CNc2cc(Br)ccc2Br)cnc2nc(N)nc(N)c12,8.34,8.34,8.34,16403,11754578,CHEMBL1135401
417,ZINC000027564342,Cc1c(CNc2cc(C(F)(F)F)ccc2Br)cnc2nc(N)nc(N)c12,8.49,8.49,8.49,16403,11754578,CHEMBL1135401
418,ZINC000027618790,CCOc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1OC,7.74,7.74,7.74,16403,11754578,CHEMBL1135401
419,ZINC000027637231,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)NO)C(=O)O)cc1,6.77,7.15,6.96,36249,17127067,CHEMBL1146314
420,ZINC000027651315,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)Nc4cccc(C(=O)O)c4)C(=O)O)cc3)cnc2n1,7.49,7.49,7.49,10874,1995880,CHEMBL1125236
421,ZINC000027651319,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@H](CCC(=O)Nc4cccc(C(=O)O)c4)C(=O)O)cc3)cnc2n1,7.49,7.49,7.49,10874,1995880,CHEMBL1125236
422,ZINC000027652873,COc1nc2ccc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.22,6.22,6.22,9999,2918503,CHEMBL1124413
423,ZINC000027652877,COc1nc2ccc(CNc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.22,6.22,6.22,9999,2918503,CHEMBL1124413
424,ZINC000027655380,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)Nc2cccc(C(=O)O)c2)C(=O)O)cc1,7.46,7.46,7.46,10874,1995880,CHEMBL1125236
425,ZINC000027655383,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@H](CCC(=O)Nc2cccc(C(=O)O)c2)C(=O)O)cc1,7.46,7.46,7.46,10874,1995880,CHEMBL1125236
426,ZINC000027704514,Nc1nc2ncc(N(C=O)Cc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,5.71,5.71,5.71,10879,1995883,CHEMBL1125239
427,ZINC000027705854,Nc1nc2ncc(NCc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,6.68,6.68,6.68,10879,1995883,CHEMBL1125239
428,ZINC000027710433,CN(Cc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)c1cnc2nc(N)[nH]c(=O)c2c1,6.6,6.6,6.6,10879,1995883,CHEMBL1125239
429,ZINC000027724509,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@H](C[C@@H](F)C(=O)O)C(=O)O)cc1,9.08,8.87,8.975,13371,8568827,CHEMBL1129679
430,ZINC000027856716,Nc1nc(N)c2c(CNc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)cccc2n1,9.27,8.57,8.92,13250,7877140,CHEMBL1128249
431,ZINC000027864391,C[C@](CCC(=O)O)(NC(=O)c1ccc(CC[C@@H]2CNc3nc(N)nc(N)c3C2)cc1)C(=O)O,9.54,9.54,9.54,3102,9990460,CHEMBL1132123
